key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,328,328,328,328,328,328,328,328,328,328,328,328
num_edges,417,415,415,413,413,413,413,413,413,409,404,371
num_ops,90,90,90,90,90,90,90,90,90,90,90,90
num_read,74,74,74,74,74,74,74,74,74,74,74,74
num_writes,16,16,16,16,16,16,16,16,16,16,16,16
num_time_edges,120,110,101,88,83,76,66,55,47,38,33,0
num_races,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268
num_harmful,0,10,19,32,37,44,54,65,73,80,80,80
num_commute,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148
num_covered,0,0,0,0,0,0,0,0,0,2,7,40
num_time_filtered_races,120,110,101,88,83,76,66,55,47,38,33,0
num_pkts,74,74,74,74,74,74,74,74,74,74,74,74
num_per_pkt_races,0,10,17,28,33,40,50,61,69,74,74,74
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,2,7,40
num_per_pkt_entry_version_race,0,10,17,28,33,40,50,61,69,72,67,34
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
