key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,248,248,248,248,248,248,248,248,248,248,248,248
num_edges,479,472,463,457,447,437,434,426,408,396,385,272
num_ops,61,61,61,61,61,61,61,61,61,61,61,61
num_read,48,48,48,48,48,48,48,48,48,48,48,48
num_writes,13,13,13,13,13,13,13,13,13,13,13,13
num_time_edges,207,200,191,185,175,165,162,154,136,124,113,0
num_races,323,323,323,323,323,323,323,323,323,323,323,323
num_harmful,0,7,16,22,32,42,45,53,71,83,94,207
num_commute,116,116,116,116,116,116,116,116,116,116,116,116
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,207,200,191,185,175,165,162,154,136,124,113,0
num_pkts,20,20,20,20,20,20,20,20,20,20,20,20
num_per_pkt_races,0,5,6,8,10,13,14,16,19,20,20,20
num_per_pkt_inconsistent,0,4,6,7,10,13,14,16,19,20,20,20
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,1,0,1,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_no_repeat,0,3,5,5,5,5,5,6,8,7,7,6
num_versions,31,31,31,31,31,31,31,31,31,31,31,31
num_racing_versions,0,0,1,1,2,2,2,2,4,5,7,8
