key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,193,193,193,193,193,193,193,193,193,193,193,193
num_edges,264,264,264,264,264,264,264,264,264,264,264,233
num_ops,45,45,45,45,45,45,45,45,45,45,45,45
num_read,37,37,37,37,37,37,37,37,37,37,37,37
num_writes,8,8,8,8,8,8,8,8,8,8,8,8
num_time_edges,59,57,54,52,49,47,43,39,34,31,31,0
num_races,242,242,242,242,242,242,242,242,242,242,242,242
num_harmful,0,2,3,4,5,7,9,11,14,14,14,17
num_commute,183,183,183,183,183,183,183,183,183,183,183,183
num_covered,0,0,2,3,5,5,7,9,11,14,14,42
num_time_filtered_races,59,57,54,52,49,47,43,39,34,31,31,0
num_pkts,34,34,34,34,34,34,34,34,34,34,34,34
num_per_pkt_races,0,2,5,7,10,12,16,20,25,28,28,31
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,2,3,5,5,7,9,11,14,14,28
num_per_pkt_entry_version_race,0,2,3,4,5,7,9,11,14,14,14,3
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
