key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,203,203,203,203,203,203,203,203,203,203,203,203
num_edges,282,282,282,282,282,282,282,282,282,282,282,242
num_ops,48,48,48,48,48,48,48,48,48,48,48,48
num_read,40,40,40,40,40,40,40,40,40,40,40,40
num_writes,8,8,8,8,8,8,8,8,8,8,8,8
num_time_edges,74,70,65,62,59,57,49,43,42,40,40,0
num_races,312,312,312,312,312,312,312,312,312,312,312,312
num_harmful,0,2,6,8,10,11,18,21,22,23,23,34
num_commute,238,238,238,238,238,238,238,238,238,238,238,238
num_covered,0,2,3,4,5,6,7,10,10,11,11,40
num_time_filtered_races,74,70,65,62,59,57,49,43,42,40,40,0
num_pkts,38,38,38,38,38,38,38,38,38,38,38,38
num_per_pkt_races,0,4,9,12,15,17,25,31,32,34,34,36
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,2,3,4,5,6,7,10,10,11,11,29
num_per_pkt_entry_version_race,0,2,6,8,10,11,18,21,22,23,23,7
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,6,6,6,6,6,6,6,6,6,6,6,6
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,1
