key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,4033,4033,4033,4033,4033,4033,4033,4033,4033,4033,4033,4033
num_edges,8078,8062,8043,8029,8016,8013,8008,7999,7991,7976,7911,7504
num_ops,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
num_read,663,663,663,663,663,663,663,663,663,663,663,663
num_writes,487,487,487,487,487,487,487,487,487,487,487,487
num_time_edges,729,701,664,646,622,595,568,542,516,494,484,0
num_races,62066,62066,62066,62066,62066,62066,62066,62066,62066,62066,62066,62066
num_harmful,0,28,65,83,107,134,161,187,212,229,234,592
num_commute,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337
num_covered,0,0,0,0,0,0,0,0,1,6,11,137
num_time_filtered_races,729,701,664,646,622,595,568,542,516,494,484,0
num_pkts,190,190,190,190,190,190,190,190,190,190,190,190
num_per_pkt_races,0,12,28,34,39,50,58,65,73,77,78,148
num_per_pkt_inconsistent,0,8,18,22,27,35,41,48,55,61,62,116
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,2
num_per_pkt_entry_version_race,0,4,10,12,12,15,17,17,18,16,16,30
num_per_pkt_inconsistent_no_repeat,0,8,18,22,25,33,39,45,52,54,56,89
num_versions,508,508,508,508,508,508,508,508,508,508,508,508
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
