key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_read,107,107,107,107,107,107,107,107,107,107,107,107
num_writes,16,16,16,16,16,16,16,16,16,16,16,16
num_ops,123,123,123,123,123,123,123,123,123,123,123,123
num_time_edges,189,182,165,154,145,131,120,113,103,97,96,0
num_races,774,774,774,774,774,774,774,774,774,774,774,774
num_harmful,0,6,13,15,18,24,25,30,33,33,33,37
num_commute,585,585,585,585,585,585,585,585,585,585,585,585
num_covered,0,1,11,20,26,34,44,46,53,59,60,152
num_time_filtered_races,189,182,165,154,145,131,120,113,103,97,96,0
num_pkts,52,52,52,52,52,52,52,52,52,52,52,52
num_per_pkt_races,0,5,9,10,13,18,18,22,24,24,24,26
num_per_pkt_inconsistent,0,1,4,5,5,6,7,8,9,9,9,10
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,4,5,5,8,12,11,14,15,15,15,16
num_per_pkt_inconsistent_no_repeat,0,1,1,1,1,1,1,1,1,1,1,2
num_versions,15,15,15,15,15,15,15,15,15,15,15,15
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
