key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,508,508,508,508,508,508,508,508,508,508,508,508
num_edges,767,765,763,761,760,751,744,732,728,725,714,616
num_ops,158,158,158,158,158,158,158,158,158,158,158,158
num_read,152,152,152,152,152,152,152,152,152,152,152,152
num_writes,6,6,6,6,6,6,6,6,6,6,6,6
num_time_edges,299,293,287,275,267,247,240,220,200,186,162,0
num_races,451,451,451,451,451,451,451,451,451,451,451,451
num_harmful,0,6,12,23,30,41,41,49,65,76,89,153
num_commute,152,152,152,152,152,152,152,152,152,152,152,152
num_covered,0,0,0,1,2,11,18,30,34,37,48,146
num_time_filtered_races,299,293,287,275,267,247,240,220,200,186,162,0
num_pkts,76,76,76,76,76,76,76,76,76,76,76,76
num_per_pkt_races,0,4,6,11,15,20,20,25,33,38,44,76
num_per_pkt_inconsistent,0,4,6,11,14,20,20,23,31,37,44,76
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,0,0,0,1,0,0,2,2,1,0,0
num_per_pkt_inconsistent_no_repeat,0,4,5,5,6,7,7,7,7,8,7,5
num_versions,13,13,13,13,13,13,13,13,13,13,13,13
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
