key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,476,476,476,476,476,476,476,476,476,476,476,476
num_edges,679,657,633,614,595,591,590,584,573,564,542,506
num_ops,89,89,89,89,89,89,89,89,89,89,89,89
num_read,71,71,71,71,71,71,71,71,71,71,71,71
num_writes,18,18,18,18,18,18,18,18,18,18,18,18
num_time_edges,173,151,127,108,89,85,84,78,67,58,36,0
num_races,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336
num_harmful,0,22,46,65,84,88,89,95,106,115,137,173
num_commute,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,173,151,127,108,89,85,84,78,67,58,36,0
num_pkts,73,73,73,73,73,73,73,73,73,73,73,73
num_per_pkt_races,0,13,27,42,53,55,56,59,66,70,71,71
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,13,27,42,53,55,56,59,66,70,71,71
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
